a,b,c,d,e
935|936	puis qu ele ne pot trover|qui la deffendist,puis quelle ne pouoit deffence trouuer,que no fallo quien la defendiese,puis quele ne pot desfendeor trouuer|qui la desfendist,ch ella no poté trovare chi lla difendesse
937	mais je sent ma querele a,mes ie sens ma droicture,mas yo se|que ella es,Mais iou y senc ma droiture,; ma i' so|si mia ragione leale
938|939|940|941|942|943|944	si loial|et si droituriere qu il n a chevalier el monde vers cui je ne l osaise bien prover au|? grant droit|que je i ai|— En non Dieu fet Lancelos or i parra|que je sui pres|que je la desfende vers vos,si loyalle quil n y a cheualier eu monde contre|qui ie ne losasses bien prouuer|Eu nen dieu fait lancelot ie suys tout prest de la deffendre uers uous,asi enesto desleal|que no a cauallero enel mundo conquien no me osare conbatir sobre esta Razon|ansi me esfuerço enmi gran derecho enel nombre de dios dixo lançarote agora paresçera|que yo so presto dela defender de verdad dixo el cauallero porla mi caueza vos moriredes porende,si loial|quil na cheualier el monde uers|qui iou ne losaisse bien moustrer au droit|que iou y ai|T'non dieu fait lancelot|Ore y para|quar iou sui tous pres|que iou la desfende uers vous,e diritta|che non à al mondo cavaliere verso cui i' non l osasse bene mostrare|al gran diritto|ch io ò|— nome di Dio|disse Lancellotto|or parrà|ch io son presto|ch io la difenda inverso voi
945	— Voire fet cil par mon chief,uoire dist celuy|par mon chief,,voire fait cil|Et par mon chief,— Vere|disse quelli
946	et vos en morrois comme traitres,et uous en moures comment traictre,como traidor,& vous y morres comme traitres,per mio capo voi ne morete come traditore
947	et desloials,et desloyal,e desleal,et desloiaus,e dislealeb
948	Lors traient la damoisele loins del feu,Lors est la damoiselle reculee du feu,e luego tiraron la donçella del fuego,Lors traient la damoisele loing del fu,oAllor trae el cavaliere immantanente lungi del fuoco
949|950	et li chevalier s entreslongent li uns de l autre|si s entrevienent,et les cheualiers se eslongnent,e los caualleros se dexaron correr el vno contrael otro,et li cheualiers seslongent li vns de lautre|puis sentrelaissent corre li vns vers lautre,e i cavalier|si traslungano l uno da l altro|si si travengono
951|952|953	si tost com li cheval pueent aler|et s entrefierent des glaives|si durement qu il les font voler en pieces;,et puys uiennent lun contre laultre tant come cheuaulx peuent courre,quanto los cauallos los pudieron lleuar|e firieronse delas lanças tan fieramente,quanque il porent des cheuax traire|si sentrefierent|si durement|que lor glaiues volent en pieces,si tosto come i cavalli possono andare|e si trafegono delle lance sicché le fanno volare in pezzi
954|955	puis s entrehurtent|si des cors,et sentrefierent|si durement,asi que las lanças fiçieron bolar en pieças,puis sentrehurtent des cors,|si trapercuotono di corpi
956	et des visages qu il n i a celui,,e toparon envno delos cuerpos,et des uisages,e di visaggi|si che non v à colui
957|958	qui tos ne soit estordis|et desconreez,que les lances uollent en pieces,e delos yelmos,si durement quil ni ot celui quil ne fust desconrees,che tutto non sia stordito|e discassato
959|960	Mais li chevaliers par est|si estonés qu il ne se puet tenir en sele ains vole jus del cheval,mes le cheualier ne se peult tenir en la selle|ains uolle ius du cheual,que el caballero no se pudo tener enla silla ante cayo del caballo en tierra,Mais li cheualiers fu|si estordis quil ne se pot tenir es archons de sa sele Ains uole ius de son cheual,|che non|si può tenere in sella|anzi vola giù del cavallo
961	et al parchaoir feri li quins del hialme en la terre,et au choir ferit le coing du feaulme a terre,e al caer ouierasele el pesqueço de quebrar,Et au fn el chair feri li coins de son heaume en terre,: al cadere fedi il jeru† de l elmo in terra
962	si qu a bien pou qu il n a le col brisié,si que a pou quil na le col brisie,ca dio de cabeça del yelmo en tierra,si qua poi quil not le col brisie,sicché a poco|che non à il collo rotto
963|964	Et quant Lancelos a fet son tour|si descent,Et quant lancelot le uoit|si descent a pie,e quando lançarote torno desçendio,Et quant lancelot ot fait son tor|si descent,|si discende
965|966|967|968	kar honte li seroit de requerre a cheval celui|qui est a pié;|si trait l espee|et cort sus a celui,et tire son espee|et court sus a celuy,ca el lo no queria acometer de Cauallo|porque el estaua de pie|e metio mano al espada,quar hontes li samble s de requerre a cheual celui|qui estoit a pie|Si trait lespee|& corut sus a celui,ché onta gli sarebbe di richiedere colui a cavallo tanto come sia a piè discenduto|e corre suso a colui
	,,e fuese parael,,
969	qui ja se relevoit,qui ia se releuoit,que ya hera leuantado,qui ia se releuoit,che si rilevava
970	si li done par mi le hialme tel cop qu il le fet a terre flatir des paumes,si luy denne tel coup sur le chief|qui le fist flattir a terre des palmes,e diole tal golpe ençima del yelmo quele fiço dar de manos en tierra,Si li donne parmi le heaume tel cop quil le fait a la terre flatir des palmes,sì gli dona tal colpo per me l elmo|ch elli el fa a terra cadere co lle palme
971	et des genols ;,et des genoulz,e el|que se yua,& des genouls,e co lle ginocchia
972|973	puis recuevre I|autre cop,puis recouure ung autre coup,por leuantar diole otro golpe dela espada,puis recoeure|j|autre cop,ia ricovera uno altro colpo
974	et le fiert,et le fiert,que dio,si le fiert par tel air,sicch elli il fa percadere
975|976	si qu il le fet tot parchaoir|et le prent par le hialme,si quil le fait parchoir|apres le prent par le heaulme,luego conel atordido en tierra|e tomolo Porel yelmo,si que il labat a terre tout estordi|puis le prent au heaume,si l piglia immantanente a l elmo
977|978|979|980	si le traine jusqu al feu|et le gete dedens|Et cil estoit|si estordis,et le traine iusques au feu|si le iette dedens,e tiro tan Reçiamente|que selo arranco dela cabeza|E el finco muy estordido|e sin fuelgo,si le traine uers le fu|& le gete dedens|et cil estoit|si estordis,si l traina infino qua al fuoco|e 'l vi getta di dentro|
981|982	et tant avoit perdue la force del cors|que relever ne se pot,et celuy estoit|si estourdi quil ne se pouoit remuer,e asi auia perdido la fuerça del cuerpo|Que se no podia rreboluer,et si uoit perdu la force de son cors quil ne se pot releuer,e tanto avea la forza perduta del corpo|che rilevare non|si poté
	,,e lançarote tomolo porlos braços,,
983	si le covint remanoir el feu,si luy conuient demourer au feu,e dio conel enel fuego,si le conuint remanoir el fu,si l covenne rimanere nel fuoco
984	et morir en tel maniere,et mourir en telle maniere,e dexolo ay morir ental manera,et morir en tel maniere,e morire in tale maniera
985|986	Et lors vienent avant cil|qui le champ gardoient,Lors uiennent ceulx|qui gardoient le champ,e luego vinieron a lançarote los quela guardauan,ors vienent auant cil|qui le camp gardent,eAllor vengono avanti quelli|che l campo guardavano
987|988|989	si dient a Lancelot qu il en a assés fet|et li rendent la damoisele saine|et haitiee,et dient a lancelot quil en a asses fait|si luy rendent la damoiselle saine|et haictiee,e dixeronle señor asaz auedes fecho|e los,et dient a lancelot|quil en a Lasses fait|si li rendent la damoisele saine|et salue,si dicono a Lancellotto|che n à assai fatto|si gli rendono la damigella tutta sana ed atata
	,,que tenian la donçella traxeronsela delante,,
990	et il la fet vestir,et il a fait uestir,e el fizo la vestir,Et il la fait uestir:,sEd e' la fa vestire
	,,,,poscia la domanda
991	puis li demande qu ele velt qu il face mes,puis luy demande|que elle ueult plus,e dixole donçella|que queredes,puis li demande|que eler veult,che ella vuole|ch elli faccia da oggimai
	,,,,Hal
992	Sire fet ele,Sire fait elle ie uueil,mas que faga señor dixo ella,que il face plus|Sire ce dist la damoisele ie Voel,sire|diss ella
993|994	que vos me menés a salveté a mon chastel|Et il dist,que uous me mettes a sauuete en mon chastel|et il dist,que vaiades con migo fasta mi castillo Donçella muy de Grado dixo lançarote,que vous me metes a saluete en mon castel|Et il dist,che voi mi meniate a salvamento in mio castello|Ed e' le dice
995|996|997	que volentiers:|si le fet monter|et le conduit jusqu al chastel ou ele l ot gardé maint jor,que si fera il uoulentiers sy la cenduit au chastel ou elle uoulloit aller,e luego se fueron parael castillo|e aquel castillo auia nombre galeforte,que chou fera il moult volentiers|puis le conduit au castel ou elle voloit aler|et la ou elle lauoit autre sois garde maint ior,che volentieri|si lla fa montare|e la conduce insin qua il castello ov ella avea dimorato molte volte
998|999	|et seoit sor une petite riviere,et ou elle lauoit garde maint iour,e estaua ençima devna pequeña Ribera,Et li castiaus auoit non Galafort|?|et seoit sor vne petite riuiere,Chel castello avea nome Galifore|si era sopr una piccola riviera
1000	si estoit molt aaisiés de totes choses,,e estaua bien asentado de todas partes,et estoit moult bien assis de toutes choses,e si era molto adagiato di tutte cose
1001	et fors a merveille,et auoit nen gallasfort,e fuerte amarauilla,Et estoit fors a merueilles,ed era forte a maraviglia|
1002	Et quant Lancelos vint la il ne fet pas a demander se l en li fist joie,Et quant lancelot uint la il ne feist mie a demander se on luy fist grant chere,e quando lançarote y llego no cale demandar|si conel fizieron gran alegria,Et quant lancelot vint la il ne fait mie a demander Se on li fist grant ioie,e non fa mica sal domandare se l uomo gli fece honore|e gioia
1003|1004|1005	kar cil del chastel savoient ja bien|que lor dame estoit delivree par I|chevalier,Car ceulx du chastel sauoient ia bien comment leur dame estoit del iuree par ung cheualier,ca los del castillo sabian muy bien|como su señora hera ya librada Porvn cauallero,quar cil del castel sorent ia bien comment lor dame estoit deliuree par|j|cheualier,ché quelli del castello sapieno già bene come lor dama era dilivera per uno cavaliere
1006|1007|1008	qui o li venoit|Et quant il le virent|si le reçurent a,qui auec elle uenoit sy le recheurent eomment sil eust este dieu|et se agenoullerent deuant luy,que auia venido|e quando los del castillo los vieron venir a lançarote,qui aueques li venoit|Et il firent a lui,che con lei ne veniva|E quand elli il vidono|si llo ricevettono a
1009	si grant joie com se ce fust Damedieu meismes,,ansi lo Reçiuieron con gran alegria|como si la madre de dios Mesma fuese,si grant ioie comme se chou fust diex meismes,si gran gioia come se ciò fosse Domenedio medesimo
	,,,,e s aginocchiano tutti quanti a llui per me là ov elli il vidono
1010	et s agenoillent tuit devant lui,et crioient tous a une uois,e fincaban los ynojos|por do el venia,et sagenoillent par deuant luj par la ou il uenoit,e gridavano tutti a una boce|e a uno grido
	,,,,: ¡s «Sire
1011	et crioient a une vois tuit ensamble Sire sor tos cels del monde soiés vos bien venus,Sire sur tous ceulx du mende uous soyes le bien uenu quy nostre grant deul aues tourne en ioye,e deçian todos avna voz bien venga el buen cauallero sobre todos los omes del mundo,et crioient Is iet al tuit a vne vois|Sire sour tous chiaus del monde soies vous li bien uenus,sopra tutti quelli del mondo siate voi il trasbenvenuto|ché nostro gran duolo avete menato in nostra gran gioiab
1012	qui nostre grant duel avés torné en grant joie A tel feste ont laiens Lancelot receu,A telle feste ont leans lancelot receu,Que nuestro duelo torno en alegria A tal Plazer y a tal alegria fue lançarote rrescebido enel castillo,qui nostre grant doel aues torne a ioie tel feste|et a tel ioie ont laiens receu lancelot,BoIn tale gioia|e in tale festa ânno Lancellotto là entro ritenuto
	,,como vos digo,,
1013	et quant il ont la damoisele descendue devant son mestre palés,Et quant il eust cenuoiee la damoyselle iusques deuant son maistre pallais,e desque la donçella desçendio antesu gran palaçio,Et quant il ot la dame PA descendu deuant son maistre palais,e quand elli ebbe la damigella discenduta davanti suo mastro palagio
1014|1015	si s en volt aler maintenant|kar il n estoit mie encore plus de tierce,si sen ueult lancelot aller mes elle le print au fraing,luego se quiso yr don lançarote|que aun no hera|mas de terçia,si sen volt aler|quar il nestoit mie plus de tierce,si se ne vuole andare Lancellotto|ché non era mica ancor più di terza
1016	Mais ele le prist al frain,,mas ella lo tomo porel freno,mais elle le prist au frain,BeMa ella il prese al freno
1017	et le fist descendre a fine force a,et le fist demourer a forche|et luy dist,e lo fiço decender a fina fuerça|e dixole,,e l fece discendere a fine forza
1018|1019	et dist Par Sainte Crois|vos ne m eschaperois mie ensi,Tresdoulx cheualier uous ne me eschapperes pas ainsy,Por sancta cruz don cauallero vos no me escaparedes,et li dist par sainte crois sire|? cheualiers vous ne mescaperes mie ensi,e gli disse|: Per santa croce|sire cavaliere|vo non mi scamperete mica insib
	,,ansi e,,
1020	Lors le commande a desarmer,Lors commande quil soit desarme,luego lo mando desarmar,Si llele fist descendre,l MAllor comanda que di là entro|ch elli il disarmassono
1021|1022	et vaslet saillent avant|por fere son commandement a;,Et uarletz saillent pour faire son commandement,e los escuderos|que y estauan fizieron|luego su mandado,& desarmer,e' valletti salgono avanti per fare suo comandamento
1023|1024	et tantost com il ot son hialme osté|et ele le conut,et tantost quil eust son heaulme oste|si le cengneust bien,e luego quele tiraron el yelmo la donzella corrio ael,et tantost comme il fu desarmes le connut elle,eE tantosto com egli à suo elmo trat to|il cognosce la damigella
