a	b	c	d	e
1742|1743|1744	qui n ait autresi grant plenté de viande comme s ele sorsist|Quant il voit ce|si en est	qui neust autant de uiande deuant lui|comme se elle sorsist|Et quant il vit al chou|si en fu	que pudiese comer antes estaua la mesa vaçia ante el|mas ante todos los otros estaua mucha vianda amarauilla	“Di questa aventura|si maravigliò molto monsignor Galvano|si atende ancora per vedere	qui neust grãt plante de ui¬ ande deuãt lup ainsi cõme selle y sourdoit|et qu Ẽt il uoit ce|si en est tout esbabi:
1745	si esbar̈s qu il ne set qu il doie dire ne	si esbahis quil ne sot	e quando don galuan aquello vido fue muy marauillado|e no sopo		si qͥl ne scait|que dire ne q̃ faire
1746	que fere	que faire ne	que dezir	che ciò sarà	
1747|1748	kar bien set qu il a mespris en aucune chose|por quoi il n a eu a mengier ausi come li autres;	que dire Car bien quide auoir mespris en aucunes choses : pourcoi il ait perdu a auoir a mangier aussi com li autre auoient	ca uien cuido|que hauia herrado en alguna cosa|pues que el no hauia de comer|como todos los otros y	vGran peza apresso la nosa delle finestre ascolta monsignor Galvano	car biẽ cuide auoir mesprĩs en aucune chose Gi seuffre a soy mesmes du demãder tãt
1749|1750	si sueffre a soi mesmes a demander|tant que les tables soient levees	si sen sueffre a demander iusques a|tant que lez tables soient leuees		si udi el maggior pianto del mondo	que les tables soiẽt leuees
1751|1752|1753	|quant il furent levé des tables|si s en alerent hors del palés	A pres mangier|quant les napes furent ostees|si sen alerent tuit del TXpalais	ansi se sufrio delo preguntar fastaque los manteles fueron alçados Como don galuan fue ferido dela lança estando echado enel lecho auenturoso Despues de comer quelos manteles fueron tirados fueronse todos los de palaçio los vnos aca	e bene gli sembia|che ciò sieno femine	⁊ quãt ilz furẽt leuees tous issirent du pallaiz
1754|1755	et se departirent li uns ça li autres la|si que mesire Gauvain ne sot qu il estoient devenu	et sen partirent|si que mesires Gauuain ne sot quil furent deuenu	e los otros alla|mas don galuan no supo|que fazer	E quand	et sen allerẽt lun cha laultre la|si q̃ monsieur gau|ne sceust õcques qͥlz estoiẽt deuenus
1756|1757|1758	Et quant il volt descendre|por venir en la cort|si ne pot de laiens issir lKar il trova les huis del palés molt bien fermés	Et quant il volt descendre|por uenir en la cort aual|si ne pot de laiens issir|quar li huis furent bien ferme	que el|quando cuido de salir del palaçio al corral fallo las puertas del palaçio bien çerradas	e si volle dirizare per andare a vedere|che ciò era|si vide d una camera uscire infino a dodici damigelle	Et quãt il uoult descẽdre du pallaiz pour uenir auat il ne peust|car il trouua les hups fermes
1759|1760	Et quant il voit ce|si se vet apuier a une des renestres	Et quant il vit chou|si se uait apoier a vne fenestre	e quando el vido aquesto fuese a sentar avna delas ventanas	che fanno el maggior duolo del mondo|;|si venia l una apresso l altra	et quãt il uist ce:|si se ua appuier a une des fene stres
1761|1762|1763|1764|1765|1766|1767	et commence a penser molt durement tenoit en sa main I|baston|et la ou il voit mon seignor|Et lors voit issir d une chambre un naim|qui Gauvain|si li distQue est ce dans malvais chevaliers|?	et commenche moult durement a penser a chou quil auoit ueu|baston|et vait la ou il vit monseignor Gauuain|si li dist|Que est ce maluais cheualiers	e començo a cuidar muy fieramente|e luego vido salir devna camara vn enano|que traia vn baston enla mano|e vino|para el|e le dixo|que es eso don mal cauallero	e dicieno tutte impiagnendo||bel sire lddio|quando usciremo noi di questo travaglio|?	et cõmenche a pẽser|Et lors uist issir de une chãbie ung napm|qui tenoit en sa main ung uaston|et laou il uoit mõsieur gauuain|si luy dist
		Et lors uit issir dune cambre			
		j			
		nain			
		qui tenoit			
		j			
1768	Que par male aventure soiés vos apoiés a nos fenestres ! Fuiés vos en vos n i devés pas estre	que par male auenture soies vous apoies a noo fenestres|Fuies	que mala uentura vos traxo a posar enesa ventana fuid|ca non deuedes ay estar	eE quand elle sono venute all uscio della camera ove el colombo era entrato la sera davanti|si s aginocchiano	Haa mauuais cheualier fuies uoꝰ Geconde ens dicy|uoꝰ ny deues mle estre
		quar vous ni deues pas estre			
1769	kar trop a en vos vil chose	quar trop a en vous vil chose	ca mucho ay envos vil cosa	e fanno loro preghiere|e loro orationi	car en uous a troy uille chose
1770|1771	mais alés vos repondre|? en aucune de ces chambres	mais ales vous repondre en aucune de ches cambres	e ydvos a echar envna cama desas	e tuttavia piagnieno duramente|PtE quand elle v ebbono state gran peza|si se ne vanno là|donde elle erano venute	
1772|1773|1774|1775	que l en ne vos voie Lors hauce le baston|por ferir mon seignor Gauvain|mais il gete le bras encontre|si li tolt;	que on ne vous voie|Lors hauce le baston|por ferir monseignor Gauuain|mais il geta le bras enfu teocleontre|si li toli le baston	que vedes|e luego alço el enano el baston|por le ferir|mas don galuan le trauo primero del|e tiroselo dela mano	ll esQuando le damigelle se ne furono andate|si vide monsignor Galvano un gran cavaliere	Cois haucha le napmleba¬ ston pour ferir monsieur gau|Mes il ietta le bras encõtre|si lup toult le baston
1776|1777|1778	et quant li nains voit ce|si li dist Ha chevalier ce ne te valt rien|Certes tu ne te poes de çaiens partir sans honte avoir	Et quant li nains vit chou|si li dist|ha : maluais cheualiers|che ne tel vault riens|Certes tu ne te pues de chaiens partir sans honte auoir	e quando el enano aquello vido dixo ay don cauallero çierto eso non te vale cosa|ca non puedes tardeçer	armato di tutte armi	Et quãt le naym le uoit|si luy dist|haa cheualier ce ne te uault riens:|car tu ne peulz de ceãs partir sãs auoir hõte
1779	Lors s en revet en une chambre		para yr sin auer desonrra entonçes se metio el enano envna camara	uscire d una camera	lors sen reua en une aultre chãbre
1780|1781|1782|1783|1784|1785|1786|1787	et mesire Gauvain regarde a a l un des chief de la sale|si i voit le plus riche lit del monde|et il vet maintenant cele part|kar il s i bee a cochier|Et en ce qu il s i voloit asseoir|si ot une damoisele|qui li crie Ha chevaliers tu morras ja se tu t i cochies desarmés|kar c est li Lis Aventuros	Lors sen uait mesires Gauuain el chief de la sale|si y uit vn des plus riches lis del monde|Et il uait maintenant cele part çar il baoit a couchiera|Et en ce quil|si dut asseoir:|si oit vne damoisele|qui li crie ha : cheualiers tu morras ia se tu ti couches desarmes|Car chest li lis auentureus	e don galuan paro mientes al vn lado del palaçio|e vido vno delos|mas fermosos lechos del mundo y el fuese alla|para se enel hechar y|el que se quiso enel asentar oyo vna donzella quele daua vozes|e le deçia cauallero muerto heres|si te ay hechas desarmado|ca este es el lecho abenturoso	lo scudo a ccollo|la spada in pugno|si disse a monsignor Galvano|: eleLevate suso|danzi cavaliere	et mõsieur gau regarde ens au chief de la sal le|si uoit ung des plus riches lytz du monde|et il sen ua celle part|car il se uoulloit coucher Ei ost maintenãt une damoyselle qͥ lui crie haa cheualier tu mourras se tu le couches de|sarme|car cest le lit aduantureux
1788|1789	Mais veés la unes armes|si les pren	mais vois la vnes armes|si ten armes se tu veuls	mas cata ay vnas armas y armate primero y despues hechate ay	e andate in una di queste camere|ché qui non potete vo' mica rimanere lungamente	uoy tu la unes armes ua|si les pren
1790	et puis	& puis ti couches		ed e' dice	
1791|1792	si t i aseu a se tu vels|Mesire Gauvain cort la ou il voit les armes	se tu es tels|que tu ti voelles couchier Lors cort mesires Gauuain cele part ou il uit les armes	si quisieres|e don galuan fue adonde estauan las armas	che vi rimarrà|o	et puys te couche se tu ueulz monsieur gau court la ou il uoit les armes
1793|1794	si les prent|et s en appareille al miels qu il puet	si sen apparelle aux miex quil puet	e tomolas|e armose lo mejor|que pudo	e voglia o no	si sen arme
1795|1796|1797	Et quant il est tos armés de hauberc|et de hialme|et d escu	Et quant il sest bien appareillies|si sen uait au lit	e desque fue armado vino a sentarse enel lecho|mas asi	teNon farete bel sire|disse quelli	
1798|1799|1800	et d espee|si se vet aseoir el lit|mais si tost com il fu assis	et si assiet|mais si tost quil y fu assis	como se asento oyo vnas vozes las	ché inanzi mi combatterò io a voi|che vo' ci rimaneste|si si dispezano gli elmi|ch ella non può stancare|e ciò l mise alquanto al disotto	et quãt il est arme il se assiect au lit|et si tost cõment il fut assiz
				e nonperquanto troppo può sofferire pena	
				e travaglia al gran bisogno	
				e gli scudi	
				e si dirompono gli asberghi sopra le braccia	
				e sopra le spalle	
				e sopra l anche	
				e si tragono el sangue del corpo	
				Ma molto est peggiorato monsignor Galvano della piaga della spalla	
				— sDel combattere	
				disse monsignor Galvano	
				io no mi combatterei già volentieri	
				e nonperquanto inanzi mi combatterò io	
				che andarmene	
				— cePer fé	
				disse el cavaliere	
				poscia	
				che vo nol volete fare dibuonarimente	
				voi el farete per forza	
				:	
				si voi guardate oggimai di me	
				ch i' vo disfidos	
				Allor gli corre suso	
				la spada tratta	
				lo scudo gittato sopra sua testa	
				e monsignor Galvano	
				si dirizza	
				e difende al meglio	
				ch egli puote	
				; oema quello lo studia troppo duramente	
1801|1802|1803|1804	si ot un cri le plus let|et le plus hisdeus e qu il onques mes orst|et bien cuide|que ce soit de deable	Si oy une vois la plus hideuse quil eust onques|mais oi|Si quide bien|que chou soit vois de deable	mas espantables y las	come colui|che molto era di gran cuore|; esi soffera|e indura tanto quanto puote|e si cuopre di su scudo come colui|che bene lo sa fare||che grande|e forte era	si ot ung cri le plus hideux|que õcques mes ouist|et biẽ cuide q̃ ce soit uoix de deable
				lo studia alla spada trincante	
1805	Et maintenant voit issir d une chambre une lance	et maintenant voit issir dune cambre vne lance		si 'l mena un ora qua|e un'altra là	Et errau|mẽt uoit issir de une chãdie une lance
				come colui	
				che molto era di gran prodeza	
				e di gran vassellaggio	
1806	dont li fers est tos enflamés	dont li fers estoit tous enflammes		|ch egli à sua alena ripresa	donc le fer estot tout emstãbe
				si corre suso al cavaliere molto vigorosamente	
				e gli dona gran colpi per me' l elmo della spada	
1807	si fiert mon seignor Gauvain	si fiert monseignor Gauuain		e per me lo scudo|e quelli a llui	si fiert mõsieur gau
				Si dura la battaglia	
1808	si durement	si durement	mas laidas	si lungamente	sp duremẽt
1809|1810|1811	que por l'escu ne|por le haubere ne remaint|que li fers ne li soit passés par mi l espaule d outre en outre	que pour escu ne pour hauberc ne remaint|que li fers ne soit passes doutre en outre parmi sespaulle	que nunca jamas ouiese oydo	che non v à colui|che non abbia perduta sua forza	que pour escu ne pout haubert ne de¬ meure qͥl ne lup mette le fer dedẽs lespaule de oultre en oultre
1812	et il se pasme	Et il se pasme de langoisse quil sent	e vien Cuido	e suo podere	et lors il se pausme
1813	Et lors ont la lance esrachiee a hors de s espaule	Et quant il fu reuenus de pasmisons|si sent le fer esrachier hors de sespaulle			et sent la lance erracher
1814	mais il ne set	mais! il ne set			mes il ne scait
1815|1816	qui li oste ;|si saine molt merveillosement	qui li oste|si saine moult durement		:	qui lup oste
1817|1818	mais del lit ne s est remués ains dist qu il i morra tos frois ou il verra plus qu il n a encore veu;|mais molt se sent navrés durement	mais onques del lit pour Chou ne se remua|ains dist quil morra tous frois ou il uerra encore plus quil na ueu|Mais moult se sent durement naures			sy tire monlt ruddemẽt mes de illec ne se remue aincois dist quil y mourra tout froit ou il uer ra encore plus
1819|1820|1821	|tant qu il i fu|si anuitié	Si y demora en te maniere|tant que il su anuitie		si sono|si storditi	qui na fait|Grãt piece demon¬ ra illec monsieur gau|⁊ quantil fut anuictie sy
		si capaines y pooit on ueoir			
1822|1823|1824|1825	que l en veist laiens malvaisement se ne fust la clartés de la lune|qui laiens entroit par plus de XL|fenestres|qui totes estoient overtes	Et de chou|que on y ueoit estoit de la clarte de la lune|qui laiens entroit par les fenestres|qui estoient ouuertes	que fuesen vozes de diablos	che non|si possono sostenere in istante	que len y uecit mauuessemẽt fois|que de la lune qͥ luisoit ꝑ plus de|xl|fenestres qͥ toutes estoient ouuertes: lors regarda mõsieur gau
1826|1827|1828	Lors esgarde en une chambre en cele|qui plus estoit prochaine de lui a|si vit	Et lors esgarde mesires Gauuain|et voit en vne cambre		anzi cade l uno d una parte|e l altro da un'altra	en une chambre qͥ estoit pres de luy
1829|1830|1831	I|serpent le plus grant|et le plus merveillos qu il onques mes veist b ne il n a home el monde	j|serpent tel Tquil na homme el monde		Si s erano tanto combatuti	si uit ung serpent le plus grãt qͥ leust oncques ueu ne il nauoit homme eu monde
1832|1833|1834|1835|1836	qui del veoir ne deust avoir tote poor ne il n'est el siecle nule maniere de color|dont l en ne peust en ui veoir lkar il estoit vermals|et indes|et jaunes|et noirs	qui de lui ueoir ne deust auoir paour|Car il nest el siecle nulle maniere de colour		che lla piaza era tutta giuncata delle maglie di loro asbergo|e de pezi di loro scudi|;	qui de le uoir neust grãt paour
1837|1838|1839|1840|1841|1842|1843|1844	et vers|et blans|Il avoit les iex roges|et gros|et enflés|et la bochie lee i|et grant|et fu gros par mi le pis e;	con ne peust ueoir sor lui;|Et moult estoit hideus a esgarder|et li serpens commencha a aler		e sono|si lassi|e si travagliati|che non possono le teste levare|anzi giacciono giù alla terra altresi come in ispasimagione|	ne il nap oiteu siecle nulle manie re de coulleur|que len ne peust sur luy ueoir:|⁊ mõlt estoit merueilleux
