,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
591,852|853|854|855,si estoit en pure sa chemise|et le tenoient|VI|pautonier trois d une part,Si estoit en vne poure chemise|& le tenoient|vi|pautonnier|iij|dune part|&,e quando el y llego vio la donçella estar ante el fuego envna muy pobre camisa|e tenianla seis billanos tres dela vna parte,Si era in sua pura camicia|e la tenieno vi|paltonieri tre d una parte,et la tenoient six pautenniers|trois de une part,si estoit en sa pure chemise|et la tenoient six pautonniers dune part,Si estoit en la pure chemisse|si la tenoien|ui|pautenier trois deuant
592,856|857,et trois d autre;|si n atendoient a geter le el feu fors le commandement as juges,iij|dautre|Si natendoient a geter le el fu fors le commandement as iuges,e tres dela otra|e no esperauan al sino el mandamiento delos juezes parala hechar enel fuego,e tre d altra sì non atendieno a gittalla nel fuoco forse il comandamento del l giudice ooma ella faceva troppo doloroso pianto,et trois dautre:|et ne actendent la iecter au feu fors le commandement du iuge,et troys dautre|si nactendoient a la gecter ou feu fors le commandement des uiges,et trois derier|Si natandoient a geter li el feu fort le comandement les menistres
593,858,et ele ploroit trop durement,et elle ploroit moult tendrement,e la donzella lloraua muy fuertemente,e rigrattava Lancellotto molto pietosamente|si diceva sovente,Et elle plouroit moult tendrement,Et elle plouroit merueilleusement,et ele ploroit trop meruilleusement
594,859,et regretoit Lancelot Ha gentilx chevaliers Lancelos,et regretoit lancelot|et disoit ha : gentiex hom lancelot,e llamaua a lançarote,: orHal gentil cavaliere Lancellotto,et regrettoit lancelot: en disant|Haa gentil homme lancelot,et regretoit lancelot|Haa lancelot gentilz cheualier De celle mesmes matiere,et regretoit lancelot ha gentil cheualiers lancelot
595,860,kar pleust ore a nostre Salveor,quar pleust ore a dieu,e deçia ay mi buen cauallero|e pluguiese agora anuestro señor,che or piacesse ora a Nostro Salvatore,car pleust a dieu,que pleust ores a nostre seigneͬ,car pleust ore a dieu
596,861,que vos seuissiés ceste novele,que vous seussies ceste nouele,que supiesedes estas nuebas,che vo' sapeste questa dolorosa novella a mio huopo per convento,,que uous sceussez ceste nouuelle,que uos seussiez ceste nouelle
597,862|863|864,si fuissiés pres de ci a demie lieue! Certes a l aide de Dieu|et de la vostre seroie je encore anuit rescosse malgré tos mes enemis|Mais vos ne le savés pas a,et puis vous fuissies chi a demie lieue|Certes a laide de dieu|et de la uostre fuisse iou encore anuit rescousse malgre mes anemis,e estubiesedes çerca de aqui media legua|e conla ayuda de dios|e conla vuestra seria yo aCorrida|e librada|e mas vos no lo sabedes,che vo' foste presso di qui a meza lega|! osCerto all aiuto di Dio|e al vostro sarei io ancora stanotte riscossa a mal grado di tutti miei animici ma vo' nol saprete mica,que uous feussiez prez de cy a demy lieue certes a laide de dieu ie seroie rescous se malgre tous mes ennemis,et que feussez a demye lieue pres de cy|et certes a maide de dieu|et de la uostre seroye ie encor ennnuyt rescousse malgre tous mes ennemys|et si ne li scauez pas,et uos fussiez pres de ci a demi lieue|Certes a laide de dieu|et ala uostre seroie ie encore ennuit rescouce maugre mes anemis|Mais uos ne le sauez pas
598,865|866,si me covendra ore morir|por la vie,si men conuendra ore a morir pour la vie,e asi me conuerna a morir,si me ne converrà ora a morire vilmente per ciò,si me conuendra mourir pour la uie,si me conuiendra ores mourir pour la uie,si me couanra morir|por la uie
599,867,que je vos sauvai emprés Dieu;,que iou vous saluai apres dieu,,ch io voi salvai la vita apresso Iddio,que ie uous sauuay aprez dieu,que ie uous sauuay,que ie uos sauuai apres dieu
600,868|869,mais certes il ne m en poise pas tant|por moi com il fet,Mais il ne me poise mie tant pour moi comme il fait pour le corous,mas no me pesa tanto pormi|como porel pesar,Hal lassa come qui à dolorose novelle a mio huopob,mais certes dit elle il ne me poise pas tant pour moy comment il fait pour le courroust,mais certes il ne men poist pas tant pour moy comme il fait pour le corroux,mais certes il ne men poise pas tant|por moi comme|por uos
601,870,por le coros,,,¡Poscia dice,,,por le corrous
602,871|872|873,que vos en avrois|quant vos le savrois|Mais ce me reconforte molt,que vous en aures|quant vous salulres ma mort|Mais ce me conforte moult,que vos abredes|Quando lo supieredes Mas esto me conorta mucho,Certo|e non me ne pesa tanto per me come fa per lo trascruccio grande|che voi arete di mia morte quando vo' saprete il martidio|che l uomo m arà per voi giudicata|etMa ciò mi riconforta molto bel dolze sire,que uous aurez|quant uous le saurez|mais ce me conforte,Mais ce me reconforte moult,que uos en arrois qnt uos le saurois|mais ce me reconforte moult
603,874|875,que je sai bien|que les damoiseles gaaigneront tant en ma mort,que les puceles gaaigneront en ma mort,que yo se quelas donçellas ganaran mucho enla my muerte,ch io so bene|che lla mia morte fia guarento a tutti i giorni di tutte le damigelle del mondo,que ie scay bien|que les damoiselles gaigneront a ma mort,car ie scay bien|que les damoiseles|qui queront tant en ma mort,que ie sai bien queles damoisele gaangneront tant en ma mort
604,,,,,esSi so bene,,,
605,,,,,che lle damigelle guadagnano oggi,,,
606,876,que jamés nule ne vos requerra d aide,quar iamais nulle ne vous requerra dayde,que jamas donzella no vos rrequirira de ayuda,tanto che giamai non voi ne richiedrà niuna d aiuto,car iamais nulles ne uous requerrent daide,que iamais nulle ne uous requerra daide,que iamais nule ne uos requerra a aide
607,877|878|879,que vos li faillois tant com il vos remenbre de moi|kar vostre cuers est|si frans qu il ne puet estre sans trop grant merites rendre a totes celes,que vous ne li aidies tant comme il vous sousuiegne de moi|Car vostre cuers est|si grans quil ne puet estre sans grant merite rendre a toutes celes,que le vos non fagades tanto|que vos acuerde demi|ca vos sodes tan noble|e tan franco|que siempre dareis buen galardon a todos aquellos,che vo' le falliate tanto come vo soverrà di me ché vostro cuore est sì franco|che non può essere sanza troppo grande merito rendere a tutte quelle,que uous ne les aidez tant quil uous souuiengne de moy|car uren cueur est ainsi franc,a|qui uous faillez tant quil uous rememberra de moy|Car uostre cuer est|si franc quil ne puet estre sans trop grant merite rendre a toutes celles,que uos li faillois tant comme il uos menbera de moi|Car uostres cuers est|si sains quil ne puet estre sans grant merites rendre a totes celes
608,880,qui de par moi se reclaiment:,qui de par moi vous reclameront,que demi se lamentaren,che da parte di me|si richiameranno,,qui de par moy uous reclament,qui de par moi se reclameront
609,881|882,si m est avis qu il m est molt miels a m ame de morir|por loialté fere,Si mest auis|que il mest moult miex a lame pour la loiaute faire,e mucho me sera buena al alma esta muerte|que Resçibire,Si m è aviso che per lo profitto|che nascerà di mia morte|ch egli è il meglio a mia anima di morire per lealtà fare,Si mest auiz quil mest mieulx a lame pour loiaulle faire,Si mest adius quil est moult mieulx a ma uie de mourir pour|si hault affaire,Si mest auis|que il est miex a marme de morir|por la loiaute faire
610,883|884,et por geter de prison|si vaillant home comme vos,& pour geter de prison|si uaillant homme comme vous estes,porque saque de prision atan noble ome Como vos,e per gittare di pregione uno|si valente huomo come vo' siete,et pour ietter de peril ung|si uaillant homme comment uous,et pour gecter de prison|si uaillant homme comme uous estes,et por oster de prison|si uaillant home comme uos estes ;
611,885,que vos fuissiés mors par la desloialté de Meleagan,que vous fuissies mors pour la desloiaute melyagant,que vos fuerades muerto porla deslealtad de meliangas,che vo' foste morto per la dislealtà di Meleagant,que se uous feussies mort par la desloyaulte melleagant,que uous feussez mort par la desleaute de meleagan,que uos fussiez mors par la desloiaute meleagant
612,886,qui en prison vos avoit mis par traïson,qui en prison vous auoit mis,que en prision vos tenia|por su gran traiçion,che n pregione voi avea messo per sua grande tradigione,qui en prison uous auoit mis,qui en prison uous auoit mis par traison,qui uos auoit mis en prison par traison
613,887,Ensi disoit la damoisele molt tendrement plorant,,e esto deçia la donçella llorando muy dolorosamente,Insi dimentava la damigella molto teneramente piagnendo,AInsi disoit la damoiselle menlt tendrement plourant,,ANsi dissoit la damoisele ml̃t tandrement en plorant
614,888,et lors vint Lancelos poignant cele part ou il la vit:,Et lancelot vint durement poignant la ou il le vit ester,e lançarote vino|luego aquella parte,esAllor viene Lancellotto pugnendo in quelle parti ove la vide,lors uient lancelot poignant celle part,Et lors uint lancelot poiguant celle part ou il la uit,et lors uint lancelot|cele part ou il la uit
615,889,si dist a cels,Si dist a chiaus,do la donçella tenian,si disse a quelli,si dist a ceulx,si dist a ceulx,et dit a ciax
616,890,qui le tenoient Laissiés la damoisele! —,qui le tenoient|Laissies ester la damoisele laissies,e dixo aquellos|que la tenian dexadla donçella,che lla tenieno|Lasciate la damigella,qui tenoient la damoiselle|lessies la damoiselle,qui la tiennent laissez la damoisele par courtoisie,qui la renoient Laissiez la damoisele
617,891|892,Por quoi sire fet J|chevaliers armés,pourcoi fait vns cheualiers armes,Porque señor dixo vn cauallero,! oE perché sire|? disse uno cavaliere,pour quoy fait ung cheualier arme,Et ung cheualier arme sault auant,Por qoi sire fait uns cheualiers
618,893,qui avant saut le lairons nos,qui auant saut le lairoit on,que delante salio la dexaran ellos,che si mise immantanente avanti,qui deuant estoit|la lesrons ilz,et dist|pour quoy la lairrons nous,qui auant saut|por quoi la lairons nous
619,894|895|896|897|898,? —|Por ce fet il|que vos n avés droit en li|por fere mal|—,pour chou fait il|que vous naues droit de li faire morir,Porque dixo lançarote|Porque no auedes derecho|Porque la matar,Perché la lascerebbono elli|che vo' non avete diritto in lei far morire|—,pour ce fait il|que uous naues nul droit a la faire mourir,par ce fait il queͥ uous nauez droit de la faire mourir,Por ce fait il|que uous ni auez droit en li faire morir
620,899|900|901|902,Si avons fet cil|si grant|que nos l avons atainte de murdre|dont je l apelai,Si auons fait cil|si grant|que nous lauons atainte de murdre|dont iou lapelai,si auemos dixo el muy grande|ca ella fue acusada de muerte,Si abbiamo sire disse quelli|si grande come coloro,si auons fait celuy asses grant|car nous lauens actainte de meurdre|donc ie lappeloie,Si auons fait il|car ie lay actainte dung meurtre|dont ie lapellay,Si auons fait cil|que nos lauons atainte do mudre|que nos li meciens sus
621,903|904,et ele s en offri a deffendre|mais ele ne trova onques,et elle sen offri a desfendre|mais elle ne trouua onques,e ella se ofreçio a defender porvn cauallero|mas nunca fallo cauallero,che ll ànno agiunta di tradigione dond io l apellai ed ella se n oferea difendere ma ella non trovò unque chi per lei prendesse scudo,et elle sen offrit a deffendre mes elle ne trouua enques cheualier,et elle sen offry deffendre|mais elle ne trouua oncquez,et ele sen offri a desfandre|Mais ele ne troua onques
622,,,,,,,,cheualier
623,905|906,qui por li en prist escu|et ce n est pas merveille,qui zs escu en portast|por li|Et chou nest mie de meruelle,que porella quisiese tomar escudo|e no es marauilla,e ciò non è mica maraviglia ché ciascuno sa bene,qui pour elle portast escu|et ce nest pas de merueille,qui pour lie en prist escu|et ce nest pas de merueilles,qui por li enprrist escu|et se nest pas m̾ueille
624,907|908|909|910|911|912|913|914|915,que chescuns set bien quele en a desloialment ovré|— De quoi|? fet Lancelos|— De ce fet il qu ele delivra Lancelot|por Meleagan ocirre son frere|—|Qui estes vos|? fet cil|— Uns chevaliers sui fet Lancelos,quar cascuns set bien|que elle a desloiaument oure|De coi fait lancelot|De chou fait cil|que elle deliura lancelot de prison|por ocirre melyagant son frere|Se vous fait lancelot voles moustrer|que elle ait fait traison|& murdre|de che seroie iou tous pres de la desfendre|Qui estes vous fait cil|Iou sui vns cheualiers fait lancelot,ca cadavno sabe su deslealtad|e que es Esta deslealtad dixo lançarote|Que es dixo el Cauallero|que solto De Prision a lançarote Para matar a meliangas su hermano|si vos dixo lançarote osaredes mostrar|que hizo deslealtad o traiçion enlo soltar yo so presto dela defender Quien sodes vos dixo el cauallero vn cauallero dixo Lançarote so,ch ella à malvagiamente operato|— Di che|? disse Lancellotto|— Di ciò disse quelli|ch ella diliverò|si come noi sapiamo bene Lancellotto di Lac di pregione per uccidere Meleagant suo fratello|— Se vo' disse Lancellotto osate mostrare|ch ella abbia fatto tradigione o murtre io son presto di difendella|— Chi siete voi sire|? disse quelli|— Uno cavaliere sono io disse Lancellotto,car chascun scait bien quelle a desloyaument ouure de quoy fait lancelot|de oster lancelot de prison pour occire melleagant son frere Adenc dit lancelot se uous uoullies dire quelle aist fait traison ou meurdre ie suys prest de prouuer a lencontre|Et pourtant aduises se deffendre le uoulles|Qui estes uous fa⟦i⟧t celuy|cheualier suys fait lancelot,car chascun sceit bien quelle en a desloyaument ouure de quoy fait lancelot|De ce fait il quelle deliura lancelot pour occire meleagant son frere|Se uous ousiez monstrer fait lancelot quelle ait fait traison ne murmure|ie suys prest du deffendre|Oui estes uous fait il|Ie suys ung cheualier fait il,que chascuns set bien comment ele en a erer de coi fait lancelot|Decce fat cil|que ele deliura lancelot|por ocirre meleagan son frere|Ce uos fait lancelot|le uoliez mostrer|que ele fist traison ne murdre: Ie seroie pret del desfandre|Qui estes uos fait cil|uns cheualiers sui fait cil
